"","Video","Frame.no.","Date.of.video","Colony","Date.of.analysis","Treatment","Year","Observer.doing.the.analysis","Length.in.pixels.of.Zone2","Length.in.pixels.of.Zone1","End.of.bridge","Ant.choice","Ant.fed.on.the.feeder","Angle.measurement.1","Angle.measurement.2","Angle.measurement.3","Reason.for.NA..Angle.measurement.","Gaster.touching.the.paper","Comments"
"159","DSC_8833",1030,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"160","DSC_8833",1033,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",38.314,39.078,37.058,"","No",""
"161","DSC_8833",1036,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",41.275,43.222,44.036,"","No",""
"162","DSC_8833",1039,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",38.716,39.31,38.991,"","No",""
"163","DSC_8833",1042,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"164","DSC_8833",1045,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"165","DSC_8833",1048,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"166","DSC_8833",1051,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"167","DSC_8833",1054,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"168","DSC_8833",1057,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"169","DSC_8833",1060,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"170","DSC_8833",1404,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,"Reason for big jump in the frames: Ant retraced a part of zone 1 earlier, so only included the later frames "
"171","DSC_8833",1407,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"172","DSC_8833",1410,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"173","DSC_8833",1413,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",32.759,32.313,32.366,"",NA,""
"174","DSC_8833",1416,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"175","DSC_8833",1419,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"176","DSC_8833",1422,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",37.257,36.742,36.333,"",NA,""
